delta_key	action	base_file	base_line	base_row_key	name	vtable_va	old_serializer_slot	old_serializer_va	old_serializer_pointer_file_off	corrected_serializer_slot	corrected_serializer_va	corrected_serializer_pointer_file_off	corrected_candidates	old_slot_capabilities	corrected_slot_capabilities	classification	value_changed	source
24f9e9c3d49d325fcb4c094c0a9fb8c9608460f69962ebc3b4486eb930f63c7d	CHANGED	PF_PROTOCOL_REGISTRY.tsv	303	9ba7438b93de8659db5bb7f295fababaf1881606356e1491374d4543b4c0ff4b	CollectionPieceAttr	0x00F3D560	+0x18	0x0043BB80	0x00B3B978	+0x34	0x006A8A40	0x00B3B994	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
2900145d67a4443707283832d7d514c6de556f563313416a06a1db8bf9b5c38c	CHANGED	PF_PROTOCOL_REGISTRY.tsv	239	83207a0591f8b2d7469afb59a31f096caafd966c0a7938faf097bab3f0a9255b	CrystalPlateAttr	0x00F3B6D8	+0x18	0x0043BB80	0x00B39AF0	+0x34	0x0068F030	0x00B39B0C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
26e24c831a955101a80d1af20123ddbc43d9124bd674a9ceedb46797ee296c04	CHANGED	PF_PROTOCOL_REGISTRY.tsv	238	6df2e6e823086e74dec7c23d9effd04c40b64202793b760624e132902cf2bc1e	CrystalSlotAttr	0x00F3B698	+0x18	0x0043BB80	0x00B39AB0	+0x34	0x0068E4C0	0x00B39ACC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
4c15919fd6fde6eb148afccc4cce4c898782acffa42886406d36190287387f1c	CHANGED	PF_PROTOCOL_REGISTRY.tsv	8	5c396f5a794dec4c64e327d82071cbd37ab2a9fd83899edc67a82c23231945c6	DBAttribute	0x00F0E890	+0x18	0x0043BB80	0x00B0CCA8	+0x34	0x00467790	0x00B0CCC4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
7981e64dca5b2bcc644822c58cadb8a09ced2d8098be5fcfbd5f5d87c6849507	CHANGED	PF_PROTOCOL_REGISTRY.tsv	268	77c30b9f945a6244508dc5d70fff46ad0479d4a215aceb13350781e84cb9a16b	DailyActivityState	0x00F3C510	+0x18	0x0043BB80	0x00B3A928	+0x34	0x0069CB20	0x00B3A944	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
e9cbe0b936856fd2b5155667a60e9f2dd8212f7e85f0cc4d8a01ed40d550ab89	CHANGED	PF_PROTOCOL_REGISTRY.tsv	105	c8eb4b24d12a7ff252ac1ee326e02d4a5dc5fbf44a5517267932441ab4cdaf44	DailyQuestAttr	0x00F31880	+0x18	0x0043BB80	0x00B2FC98	+0x34	0x00602810	0x00B2FCB4	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
614b276397bdcafa3d677f4b8aadc297cca3bdbd482f0a96e644deef8dc32433	CHANGED	PF_PROTOCOL_REGISTRY.tsv	191	3bd7aaba8c0aa98eea01f99c736261b6b56110a0b062b98aa8ff168bf3b6eb48	DailyRewardAttr	0x00F37BE0	+0x18	0x0043BB80	0x00B35FF8	+0x34	0x0065CC20	0x00B36014	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
81f81d01d914015a25ed57d8422a0a1b27719f179f03d8a6f85e8edd3bfaceb6	CHANGED	PF_PROTOCOL_REGISTRY.tsv	192	4f2d1831ab4311622168d6511d7ad699034c1a696eea86284a2eeebfc6b0dad2	DailyRewardBagAttr	0x00F37C20	+0x18	0x0043BB80	0x00B36038	+0x34	0x0065D4E0	0x00B36054	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
71c3c606dacf9f6242c683797b9f107f518f08d8a9823046ae7c4e2f5a0a4fc3	CHANGED	PF_PROTOCOL_REGISTRY.tsv	14	b16c05a0b3bec76c25ee9cff9667ee12d2a449dbc0ee1ff21c159762bec6b87e	ExpressBagAttr	0x00F0EB58	+0x18	0x0046E0A0	0x00B0CF70	+0x34	0x00471830	0x00B0CF8C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
6d6a22e62c0760f8d3667282dfba80a22195de315f4142b00c0264724a235880	CHANGED	PF_PROTOCOL_REGISTRY.tsv	366	83a4bd5462e569b34c2632af0ab1f680438daf17067c18d96aa076a35173268b	ExpressCountAttr	0x00F40B30	+0x18	0x0043BB80	0x00B3EF48	+0x34	0x006E3990	0x00B3EF64	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
2c9852d6609060ce319ec1c7a8e0093f2a5036d0c063f07d5063bbe27815d084	CORRECTED_SLOT_PROVENANCE_SAME_TARGET	PF_PROTOCOL_REGISTRY.tsv	9	0c474ee761ff892b208496c4a303e28dbf4bcb9f1c2a0923b353cde5ffe7548d	FightAttr	0x00F0E8E0	+0x18	0x00515EC0	0x00B0CCF8	+0x34	0x00515EC0	0x00B0CD14	N/A	NONE	NONE	SAME_TARGET_BOTH_NONWIRE	NO	IMAGE
a2554fa3345c8f4124e7639e0499c7ef1e99b4b36c6d33ec1b3ce70d4257b135	CHANGED	PF_PROTOCOL_REGISTRY.tsv	10	526fa922ed47eab85c5ae90a30bf677e6ef16446eb2a1f554cc0c139892b0346	InstanceRefreshAttr	0x00F0E930	+0x18	0x0043BB80	0x00B0CD48	+0x34	0x004693B0	0x00B0CD64	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
638e99978efd6ca2cfb1d0951cc4eff69a92997525b53602eb27bb98129240ff	CHANGED_TO_AMBIGUOUS	PF_PROTOCOL_REGISTRY.tsv	15	321fe8d6e97efe6a9af660f0b1b199d784eb2035a692527ee353af6dfe94631a	ItemAttr	UNKNOWN	+0x18	0x0043BB80	0x00B0CFC8|0x00B485A0	+0x34	UNKNOWN	0x00B0CFE4|0x00B485BC	vtable=0x00F0EBB0,serializer=0x0046BD30,pointer_file_off=0x00B0CFE4|vtable=0x00F4A188,serializer=0x00766C90,pointer_file_off=0x00B485BC	NONE	R|W(each_candidate;not_singleton)	SLOT34_TWO_CANDIDATES_NO_SINGLETON	YES	IMAGE
7903f020358c85a0ca687275927665774574e12e35b576a2b088ff075c9b2488	CHANGED	PF_PROTOCOL_REGISTRY.tsv	16	be325c948af06f092d6060489561f97c5b02d518f91eca0c4f12370f1d9e6cd1	ItemBagAttr	0x00F0ECB8	+0x18	0x0046E0A0	0x00B0D0D0	+0x34	0x0046F180	0x00B0D0EC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
d599a992f168dd4207de8c97fea61f79c5b30c4643ac6c747595f8beeaf8f1c5	CHANGED	PF_PROTOCOL_REGISTRY.tsv	12	b592cfcf7b6ea585a170594befb7b044c02f70cf12c69bfaf9f31f24166a37c1	ItemBagAttr_Equiped	0x00F0EA30	+0x18	0x0046E0A0	0x00B0CE48	+0x34	0x0046F180	0x00B0CE64	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
b375873a9d6607ef4837b6f4db9d328bb9c40aba971d2130e67ce66dbff58991	CHANGED	PF_PROTOCOL_REGISTRY.tsv	312	1ac523ec72e274ae47d5fa0c6a4c1db1970f87ad065266611ab64ce85099d1b5	ItemMallBagAttr	0x00F3DD88	+0x18	0x0046E0A0	0x00B3C1A0	+0x34	0x00471830	0x00B3C1BC	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
5992cd6d9cb1d73ce55bfd025d4391c3370c6bb069c2f6ebb19d27e833e67251	CHANGED	PF_PROTOCOL_REGISTRY.tsv	313	cb03e48fb49b000b6916469b081c11fd3920e02ca2abd594e70bb47fe23e11ce	ItemMallGiftItem	0x00F3DE08	+0x18	0x0043BB80	0x00B3C220	+0x34	0x006B2030	0x00B3C23C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
bfc7775794f9073a0e799140233d2adbd63dec19f2066241a16dea450fed3e1b	CHANGED	PF_PROTOCOL_REGISTRY.tsv	17	9a8eab56e26c9c6fdb9119271abdf6e85078a4eb10aefcef3094d2ee785805ce	ItemVaryAttr	0x00F0EE10	+0x18	0x0043BB80	0x00B0D228	+0x34	0x00470BB0	0x00B0D244	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
bf3170e3f35b85bcec3ff445031c6ca2b52cf5cb3bab4a97f9e14dee809c4c3d	CHANGED	PF_PROTOCOL_REGISTRY.tsv	7	39d0da0a960efdfae3c0a9fae518ad20b9e53bfe5fe1802e756bd83f3b258e0e	MovementAttr	0x00F0D0F8	+0x18	0x0043BB80	0x00B0B510	+0x34	0x004671C0	0x00B0B52C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
79aa2520d62cad2c6c35988502f9bc76da32585ca5850cc5eeaae144f50ca1f9	CHANGED	PF_PROTOCOL_REGISTRY.tsv	471	9c0ec908c35008477339008cd13a61100a305a5753797371edd0864249bb6a9e	NPCAppearAttr	0x00F47238	+0x18	0x0043BB80	0x00B45650	+0x34	0x00737FD0	0x00B4566C	N/A	NONE	R|W	SLOT18_NONWIRE_SLOT34_RW	YES	IMAGE
