name	name_va	reg_site_va	id_global_va	getter_va	vtable_va	serializer_va	handler_va	file_off_reg	file_off_name	file_off_getter	file_off_vtable	file_off_serializer_ptr	file_off_handler_ptr	source
InstanceLeave	0x00F308C8	0x00BEE4C0	0x01082008	0x00532600	0x00F213F8	0x00515EC0	0x00710440	0x007ED8C0	0x00B2ECC8	0x00131A00	0x00B1F7F8	0x00B1F810	0x00B1F814	IMAGE
InstanceInviteVital	0x00F308D8	0x00BEE4E0	0x0108200C	0x005E5910	0x00F3032C	0x005EB610	0x005F0C10	0x007ED8E0	0x00B2ECD8	0x001E4D10	0x00B2E72C	0x00B2E744	0x00B2E748	IMAGE
InstanceRefreshVital	0x00F308EC	0x00BEE500	0x01082010	0x005E5A10	0x00F30350	0x005EAAA0	0x005F0ED0	0x007ED900	0x00B2ECEC	0x001E4E10	0x00B2E750	0x00B2E768	0x00B2E76C	IMAGE
ItemOperateVitalReq	0x00F30904	0x00BEE520	0x01082014	0x005E5AE0	0x00F30374	0x005E5AF0	0x00710440	0x007ED920	0x00B2ED04	0x001E4EE0	0x00B2E774	0x00B2E78C	0x00B2E790	IMAGE
ItemOperateVitalRes	0x00F0B3F0	0x00BEE540	0x01082018	0x005EBF70	0x00F30668	0x005EDA20	0x005EF5E0	0x007ED940	0x00B097F0	0x001EB370	0x00B2EA68	0x00B2EA80	0x00B2EA84	IMAGE
ItemLockVital	0x00F0B424	0x00BEE560	0x0108201C	0x005EC090	0x00F3068C	0x005EDC40	0x005EF620	0x007ED960	0x00B09824	0x001EB490	0x00B2EA8C	0x00B2EAA4	0x00B2EAA8	IMAGE
AbilityDepoly	0x00F30918	0x00BEE580	0x01082020	0x005E5BA0	0x00F30398	0x005E5BB0	0x005F0200	0x007ED980	0x00B2ED18	0x001E4FA0	0x00B2E798	0x00B2E7B0	0x00B2E7B4	IMAGE
AbilityDepolyAll	0x00F30928	0x00BEE5A0	0x01082024	0x005E5C70	0x00F303BC	0x005E5C80	0x00710440	0x007ED9A0	0x00B2ED28	0x001E5070	0x00B2E7BC	0x00B2E7D4	0x00B2E7D8	IMAGE
UpdateAttrVital	0x00F0B374	0x00BEE5C0	0x01082028	0x005E5DB0	0x00F303E0	0x005E42C0	0x005F2400	0x007ED9C0	0x00B09774	0x001E51B0	0x00B2E7E0	0x00B2E7F8	0x00B2E7FC	IMAGE
PickupTerrainThing	0x00F3093C	0x00BEE5E0	0x0108202C	0x005E46A0	0x00F3005C	0x005E5E30	0x005EF640	0x007ED9E0	0x00B2ED3C	0x001E3AA0	0x00B2E45C	0x00B2E474	0x00B2E478	IMAGE
UseItemVital	0x00F30950	0x00BEE600	0x01082030	0x005BEA50	0x00F2D0B0	0x006C0180	0x00710440	0x007EDA00	0x00B2ED50	0x001BDE50	0x00B2B4B0	0x00B2B4C8	0x00B2B4CC	IMAGE
OpenCloseUI	0x00F30960	0x00BEE620	0x01082034	0x005E4750	0x00F30080	0x005E5E90	0x005F02C0	0x007EDA20	0x00B2ED60	0x001E3B50	0x00B2E480	0x00B2E498	0x00B2E49C	IMAGE
ReliveVital	0x00F3096C	0x00BEE640	0x01082038	0x005E5F70	0x00F30404	0x005E5F80	0x00710440	0x007EDA40	0x00B2ED6C	0x001E5370	0x00B2E804	0x00B2E81C	0x00B2E820	IMAGE
ReliveMarkerVital	0x00F30978	0x00BEE660	0x0108203C	0x005E7440	0x00F305D8	0x005EB6D0	0x005F0410	0x007EDA60	0x00B2ED78	0x001E6840	0x00B2E9D8	0x00B2E9F0	0x00B2E9F4	IMAGE
ChangeSecondPwdVital	0x00F3098C	0x00BEE680	0x01082040	0x004E50C0	0x00F1A75C	0x005E5FF0	0x005F0460	0x007EDA80	0x00B2ED8C	0x000E44C0	0x00B18B5C	0x00B18B74	0x00B18B78	IMAGE
CheckSecondPwdVital	0x00F309A4	0x00BEE6A0	0x01082044	0x004E51D0	0x00F1A780	0x005E6060	0x005F05B0	0x007EDAA0	0x00B2EDA4	0x000E45D0	0x00B18B80	0x00B18B98	0x00B18B9C	IMAGE
EquipFashionVital	0x00F0B348	0x00BEE6C0	0x01082048	0x005EB7F0	0x00F30644	0x005ECBE0	0x00710440	0x007EDAC0	0x00B09748	0x001EABF0	0x00B2EA44	0x00B2EA5C	0x00B2EA60	IMAGE
FashionChangeVital	0x00F0B518	0x00BEE6E0	0x0108204C	0x005EC120	0x00F306B0	0x005EDDA0	0x005F1810	0x007EDAE0	0x00B09918	0x001EB520	0x00B2EAB0	0x00B2EAC8	0x00B2EACC	IMAGE
MusicControlVital	0x00F309B8	0x00BEE700	0x01082050	0x005E4860	0x00F300A4	0x005E60D0	0x005F06D0	0x007EDB00	0x00B2EDB8	0x001E3C60	0x00B2E4A4	0x00B2E4BC	0x00B2E4C0	IMAGE
MiscNotifyVital	0x00F309CC	0x00BEE720	0x01082054	0x004C3FE0	0x00F168A4	0x005E6120	0x005EF670	0x007EDB20	0x00B2EDCC	0x000C33E0	0x00B14CA4	0x00B14CBC	0x00B14CC0	IMAGE
ItemBindingUnLockVital	0x00F309DC	0x00BEE740	0x01082058	0x00573540	0x00F28744	0x006C0180	0x00710440	0x007EDB40	0x00B2EDDC	0x00172940	0x00B26B44	0x00B26B5C	0x00B26B60	IMAGE
ItemBindingLockVitalRes	0x00F309F4	0x00BEE760	0x0108205C	0x005E7530	0x00F305FC	0x005EABD0	0x005EF8D0	0x007EDB60	0x00B2EDF4	0x001E6930	0x00B2E9FC	0x00B2EA14	0x00B2EA18	IMAGE
ServerAddedInfoVital	0x00F0B3A8	0x00BEE780	0x01082060	0x005ED2E0	0x00F30768	0x005EBCF0	0x005EF910	0x007EDB80	0x00B097A8	0x001EC6E0	0x00B2EB68	0x00B2EB80	0x00B2EB84	IMAGE
PurchaseServiceVital	0x00F30A0C	0x00BEE7A0	0x01082064	0x005E6220	0x00F30428	0x005E62B0	0x005F0800	0x007EDBA0	0x00B2EE0C	0x001E5620	0x00B2E828	0x00B2E840	0x00B2E844	IMAGE
GetWorldInfoVital	0x00F30A24	0x00BEE7C0	0x01082068	0x005E7650	0x00F30620	0x005EB800	0x005F0B00	0x007EDBC0	0x00B2EE24	0x001E6A50	0x00B2EA20	0x00B2EA38	0x00B2EA3C	IMAGE
SwitchServerResVital	0x00F30A38	0x00BEE7E0	0x0108206C	0x005E6410	0x00F3044C	0x005E64A0	0x005F1E00	0x007EDBE0	0x00B2EE38	0x001E5810	0x00B2E84C	0x00B2E864	0x00B2E868	IMAGE
ReArrangeBagReply	0x00F30A50	0x00BEE800	0x01082070	0x005E65E0	0x00F30470	0x005EEDC0	0x005F1A30	0x007EDC00	0x00B2EE50	0x001E59E0	0x00B2E870	0x00B2E888	0x00B2E88C	IMAGE
TeleportCheckVital	0x00F30A64	0x00BEE820	0x01082074	0x00449430	0x00F0D66C	0x005E6670	0x005F2190	0x007EDC20	0x00B2EE64	0x00048830	0x00B0BA6C	0x00B0BA84	0x00B0BA88	IMAGE
ActorInspectVital	0x00F30A78	0x00BEE840	0x01082078	0x005E6740	0x00F30494	0x005EAC90	0x005F1070	0x007EDC40	0x00B2EE78	0x001E5B40	0x00B2E894	0x00B2E8AC	0x00B2E8B0	IMAGE
LogoutVital	0x00F30A8C	0x00BEE860	0x0108207C	0x005E6810	0x00F304B8	0x005E6820	0x005EF930	0x007EDC60	0x00B2EE8C	0x001E5C10	0x00B2E8B8	0x00B2E8D0	0x00B2E8D4	IMAGE
