root_key	name	schema_variant	base_registry_line	vtable_va	old_serializer_pointer_file_off	old_serializer_va	corrected_serializer_pointer_file_off	corrected_serializer_va	span_start	span_end	file_off	length	span_sha256	source
778674874b18ec431aea1001d47c9c2ad9ea122ca1b302672b4fcbfc66a6967c	CrystalPlateAttr	SINGLETON_SLOT34	239	0x00F3B6D8	0x00B39AF0	0x0043BB80	0x00B39B0C	0x0068F030	0x0068F030	0x0068F204	0x0028E430	468	a8efa17d1382d89cdc73007a32e6ee7f305a6abae87a2d884835750682df6182	IMAGE
eb160faeed632015e67088282c147926031defbc64403f4c9b86447e48efe5c6	StorageAttr	SINGLETON_SLOT34	257	0x00F3BF10	0x00B3A328	0x0046E0A0	0x00B3A344	0x00469FA0	0x00469FA0	0x00469FD8	0x000693A0	56	828554cb9ece35a2316ffc9e8bf44be3b2ef033bd189cb9b15400ecd3b48c63f	IMAGE
a67e5f4243ae451f2737cc52a6ff85b2cbb1bd007fefeb2d5b1a48a8321fbf4e	ActorGatheringInfoAttr	SINGLETON_SLOT34	262	0x00F3C1F8	0x00B3A610	0x00515EC0	0x00B3A62C	0x0072B850	0x0072B850	0x0072B8A3	0x0032AC50	83	556d758a4dca52e70aeedcc0fdc776fdea5b4e70601e04f56ac844a98fe6adde	IMAGE
34290f8629fd77c66824b0f984f2120cc750882bdc0e610249c68e6a36e0109b	DailyActivityState	SINGLETON_SLOT34	268	0x00F3C510	0x00B3A928	0x0043BB80	0x00B3A944	0x0069CB20	0x0069CB20	0x0069CC63	0x0029BF20	323	28f27bb1158748030e9876e896e729d3b6fe1d18a988f7e90ed1d7b0745e31ca	IMAGE
18e100bbb42f9682b20e6a72f0716ca9c0a45fd5981bcc1d86e87ebd8153b283	WinePotAttr	SINGLETON_SLOT34	290	0x00F3CF38	0x00B3B350	0x0043BB80	0x00B3B36C	0x006A43C0	0x006A43C0	0x006A4460	0x002A37C0	160	9fb4431fdb5408ef2ba3af01e7bb42092a050f112d05c62860e18833d89675fd	IMAGE
e2a7c2f1aef8633ef5a7ad94899710e573bfcc9e1528663a4c1a3b68a37048be	WineCellarAttr	SINGLETON_SLOT34	291	0x00F3D098	0x00B3B4B0	0x0043BB80	0x00B3B4CC	0x006A5650	0x006A5650	0x006A57E9	0x002A4A50	409	64105afe4d7764a198651a80f8f207be53ee1d54f20fe2e289e4e36105547984	IMAGE
2433c926465a69adfb22dc631ca70a00016103400c0533a57a663c57ce3ba8e7	WineFormulaLearningAttr	SINGLETON_SLOT34	292	0x00F3D0D8	0x00B3B4F0	0x0043BB80	0x00B3B50C	0x006A4DB0	0x006A4DB0	0x006A4EA8	0x002A41B0	248	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	IMAGE
378cb760eb681eb19ad2be85c255e3097142053e2524f6230ad74fcbfe9327ab	CollectableBookTypeAttr	SINGLETON_SLOT34	302	0x00F3D5A0	0x00B3B9B8	0x0043BB80	0x00B3B9D4	0x006A89A0	0x006A89A0	0x006A89D8	0x002A7DA0	56	6e0a66552f73a2eab2310375f556dddb0d9c008936e1bb17cbff28a4a147a24e	IMAGE
f8ad89f7117c0335bb2cc7dea81922dede29ac88cf3f0c739faf6f9c1889638d	CollectionPieceAttr	SINGLETON_SLOT34	303	0x00F3D560	0x00B3B978	0x0043BB80	0x00B3B994	0x006A8A40	0x006A8A40	0x006A8AD2	0x002A7E40	146	a7b79f1d868fa782142e193af8e5cf6011602b6d93ae19f4f0d2e76a0e0f8305	IMAGE
f89a2a34e9d670b0e7951bdd9da9a360633d1b562adc6209b7b117394cceeba9	CollectionBookAttr	SINGLETON_SLOT34	304	0x00F3D650	0x00B3BA68	0x0043BB80	0x00B3BA84	0x006A9CA0	0x006A9CA0	0x006A9E51	0x002A90A0	433	8b369b773c273c4bc0995350c2dfb5777688a8ca5445b6db9c006bad9cbb1a05	IMAGE
92578a74ce03cbe3fbf239f36873da87890269c13fef9028e92b3dd3404c13d5	ItemMallBagAttr	SINGLETON_SLOT34	312	0x00F3DD88	0x00B3C1A0	0x0046E0A0	0x00B3C1BC	0x00471830	0x00471830	0x00471910	0x00070C30	224	0756593899a697399b4cbdc8f03f32928f1829c20ebcc9cbcd34b8254c0a0692	IMAGE
6b56c966ed5d13aa33d8835abbce0a49194238cc49b2daff2e67c9b2542077e2	ItemMallGiftItem	SINGLETON_SLOT34	313	0x00F3DE08	0x00B3C220	0x0043BB80	0x00B3C23C	0x006B2030	0x006B2030	0x006B222D	0x002B1430	509	a4ccde5d6e0193f0d3bdd069ab203480e306d752e8e4752f310009c3dbf0f9c2	IMAGE
f24098b2dc2ad025c90d433456c513afdfddd2682ec0724546a1f09d4196d411	CCooldownAttr	SINGLETON_SLOT34	349	0x00F3F088	0x00B3D4A0	0x0043BB80	0x00B3D4BC	0x006C9DC0	0x006C9DC0	0x006C9F4A	0x002C91C0	394	4d40cadb26437db551ef308732c53a30eddc7429174ee53cb966cbf474a5bd0d	IMAGE
21a080c75321ab3072406f5f8c50655858a95272c0804c75dcd2e828961a42ed	CollectionObjPointAttr	SINGLETON_SLOT34	352	0x00F3F3C0	0x00B3D7D8	0x0043BB80	0x00B3D7F4	0x006CC110	0x006CC110	0x006CC1AB	0x002CB510	155	f7d9a48677213ddc104f11703d023e8b41095c66c783a54751f779b4caa7a8e4	IMAGE
04baff6c00af72432c223304f7181e40d8be704c324182f100dbda1b5b4472f7	CollectionEffectData	SINGLETON_SLOT34	353	0x00F3F400	0x00B3D818	0x0043BB80	0x00B3D834	0x006A4DB0	0x006A4DB0	0x006A4EA8	0x002A41B0	248	cc2032c193ffecffb950bc809b7106f78bdfa4d2824614cc58d86e380ef70fb5	IMAGE
08f52ab3671cca62c76eb6b0385331fb634162cb6dcdcf6aedf9c57d5c063016	CVehicleAttr	SINGLETON_SLOT34	363	0x00F40A80	0x00B3EE98	0x00515EC0	0x00B3EEB4	0x006E31A0	0x006E31A0	0x006E322A	0x002E25A0	138	a9c582d2f358d979f294448ce9f1671a5a2becb9f8373bc114ef7a99ec6dfd27	IMAGE
7facdc5118210e0198cb577ecc1be94d4839d8bd1ec228b0c00370e7188eb4bf	ActorExpressData	SINGLETON_SLOT34	365	0x00F40B70	0x00B3EF88	0x0043BB80	0x00B3EFA4	0x006E3EF0	0x006E3EF0	0x006E4142	0x002E32F0	594	9d533f91678a951228c059201bf22d160b6a685f2cb4a4aafddc89ed16ecab21	IMAGE
2d2dba328243d424ad9b49dbae3d021fdfb05af204452ee35b61b26cdf437e2f	ExpressCountAttr	SINGLETON_SLOT34	366	0x00F40B30	0x00B3EF48	0x0043BB80	0x00B3EF64	0x006E3990	0x006E3990	0x006E39EA	0x002E2D90	90	73555f11e198330d49e4c0f8f835eaa92b931c34066bbed268d17f04c86f25e9	IMAGE
ee39004f1dcde44dd22520efd1f838ca023c2262ba098be123e2b69018100637	SummonedPetAttr	SINGLETON_SLOT34	382	0x00F41210	0x00B3F628	0x0043BB80	0x00B3F644	0x006EDD40	0x006EDD40	0x006EDE2D	0x002ED140	237	a23648f98291165f8353dcba73ebc55deba84c2559a5653238313277c461de1a	IMAGE
6d8620085fd77f6eeb1245cb9ea26b4e6e445cd5f0cad5c19cee72d1749a82b3	PetsData	SINGLETON_SLOT34	383	0x00F41B68	0x00B3FF80	0x0043BB80	0x00B3FF9C	0x006F67E0	0x006F67E0	0x006F6977	0x002F5BE0	407	1dd4bb4196f240fd092cd9d7e7461365b8422fe59978e46ba066c78661bf27d2	IMAGE
0dc3e24a6287f6b47f1aa35a6b02aff3091866545b5f37c15c31f5b6a9f69e65	PetsMergingData	SINGLETON_SLOT34	385	0x00F41D68	0x00B40180	0x0043BB80	0x00B4019C	0x006F84F0	0x006F84F0	0x006F8680	0x002F78F0	400	538ef92e9cea58187e92d20cff3da6601c53a44f5df2fb5e67de7a91b750ea1a	IMAGE
aa1747cc594aaf60d5410b1c310e26f2305a8cb6417807c8fb29a3a3e72e4291	ActorLearnedPetsSkillData	SINGLETON_SLOT34	387	0x00F421C8	0x00B405E0	0x0043BB80	0x00B405FC	0x006FDF60	0x006FDF60	0x006FE058	0x002FD360	248	357587a20115fd3ad22ff55a74dca38b4c6a3d96f69eed10ba79078b45502068	IMAGE
27743612e2736ca3cdf7f3b23dc85974db3541e1e5ae89be4cbdb73cd53ad77a	CAchievementsAttr	SINGLETON_SLOT34	404	0x00F42550	0x00B40968	0x0043BB80	0x00B40984	0x00701AF0	0x00701AF0	0x00701DE5	0x00300EF0	757	3bd14fb4c2efe53fd818889568424d081ebdd20ba92df29a42de0b1a5e72636d	IMAGE
83f298a6cd960824b610e0667b49d8498942085b7f65470b95846ff6c2129945	ResidentEffectAttr	SINGLETON_SLOT34	413	0x00F42D90	0x00B411A8	0x0043BB80	0x00B411C4	0x0070B2C0	0x0070B2C0	0x0070B3C9	0x0030A6C0	265	632825fd83b86b8a7f78222bdb625394a34724ab2712b848c2cf602cf6aab740	IMAGE
b90039edaa28e4a0865959201abd9597db6a831463420120530f54f23bb74088	UserSettingServer	SINGLETON_SLOT34	428	0x00F44E10	0x00B43228	0x0043BB80	0x00B43244	0x00720BA0	0x00720BA0	0x00720CD0	0x0031FFA0	304	e51270c46949f34d292f494e56167cc6fcc326f90381074971c1b48e0369392e	IMAGE
8fdaa80b13ceea960923566ac7d4867270a283ece17486db461bc44adb186245	ActorTreasureHuntExcavatingInfoAttr	SINGLETON_SLOT34	456	0x00F466D0	0x00B44AE8	0x00515EC0	0x00B44B04	0x0072B850	0x0072B850	0x0072B8A3	0x0032AC50	83	556d758a4dca52e70aeedcc0fdc776fdea5b4e70601e04f56ac844a98fe6adde	IMAGE
103f5f853b564f55fa865287b099e9f7627217bf667a57c78863015474d85de2	NavigationExAttr	SINGLETON_SLOT34	462	0x00F46C28	0x00B45040	0x0043BB80	0x00B4505C	0x0072E930	0x0072E930	0x0072E9CB	0x0032DD30	155	79f4c52b14f2b9e514ed99e7c848ce25691cbb8a574e854b611645d18517af80	IMAGE
7cea9673402914b73ac4649b916c0d92906b6f827e4292c85a3585d60b52fcab	NPCAppearAttr	SINGLETON_SLOT34	471	0x00F47238	0x00B45650	0x0043BB80	0x00B4566C	0x00737FD0	0x00737FD0	0x007380CE	0x003373D0	254	865dcf2144c2c8a86126bbae7e3ed3e1478a0d062194e4d1a6b5f52c2eaa2930	IMAGE
7bbcb0e35675378237cd328c28afe7034cb9f06b6477f871b43077ac61946358	SystemGiftAttr	SINGLETON_SLOT34	491	0x00F48870	0x00B46C88	0x0043BB80	0x00B46CA4	0x0074D1F0	0x0074D1F0	0x0074D34A	0x0034C5F0	346	a7aeb8842d46046f79d7c58916a6ed6b9a963ddb95897a8b96a057c8a89aa9dd	IMAGE
c6782d65d58042db5a298b44bb92d75ff96fb195ffb7f6b822ddf0dd454ee1e5	CSkillAttr	SINGLETON_SLOT34	503	0x00F48B78	0x00B46F90	0x0043BB80	0x00B46FAC	0x007520B0	0x007520B0	0x00752281	0x003514B0	465	9227cc6009fff2f20c79a3b19c395f9623d87f68a4ee3462e541aed62aa7e906	IMAGE
4592793c9aef7dbba7d9366c8a29d733e58fb43aed2728a6400bf03817d71f42	StallActorAttr	SINGLETON_SLOT34	513	0x00F4A440	0x00B48858	0x0043BB80	0x00B48874	0x0076A450	0x0076A450	0x0076A4DA	0x00369850	138	8158fda96463a6b2121b767a84f8f56397174049994ca033ecba9a28f1f99b76	IMAGE
ffb331d9dcdea38ae7a0ef1ad5dc9176d55f0eb0f6f3af80abb14d61b2668878	ItemAttr	VTABLE_0x00F0EBB0;CANDIDATE_ONLY_NOT_SINGLETON	15	0x00F0EBB0	0x00B0CFC8	0x0043BB80	0x00B0CFE4	0x0046BD30	0x0046BD30	0x0046BEA1	0x0006B130	369	b21137bde28452c08f8fa6a2eda18accf9c2d51b9b7d82a1b6997986feba86c1	IMAGE
09d6812cb12e2a9bb12c3c1f9b6af3f2fc9de8f370f0a64fd7b841b8521419f0	ItemAttr	VTABLE_0x00F4A188;CANDIDATE_ONLY_NOT_SINGLETON	15	0x00F4A188	0x00B485A0	0x0043BB80	0x00B485BC	0x00766C90	0x00766C90	0x00766CC8	0x00366090	56	2e530374f093af280c441ae3e23f97eedbd8b7a02d8b0598fe1b5bba2488b771	IMAGE
