dedup_key	delta_action	base_row_number	message	direction(W/R)	order	field_offset	original_tag	corrected_tag	original_payload_len	corrected_full_wire_len	string_kind	length_prefix	original_call_va	original_call_file_off	base_span_start	base_span_end	base_span_sha256	helper_va	helper_file_off	helper_span_end_va	helper_span_end_file_off	helper_span_sha256	tag_instruction_va	tag_instruction_file_off	tag_instruction_semantics	priority	source
07b02af86c258ee19abee3a608d76d2ae56aebc969340ce0c55dcde1068a0f77	CHANGED	4661	ItemMallCouponExchangeVital	W	1	+0x14	UNTAGGED_STRING8_LEN32LE	0x44	4+N_bytes	5+N_bytes	string8	uint32le_byte_count	0x005E53AF	0x001E47AF	0x005E53A0	0x005E53C7	3e7899321da79221d0bf2c5641dc7e0022bc6acf439794c7f61b6c7efe2f6fad	0x0089A6D0	0x00499AD0	0x0089A733	0x00499B33	a0674fb3366720314e20ef5f5dbfa010330b12a73ed4e56e6c43e9d310dce9f1	0x0089A6F1	0x00499AF1	push_0x44	1	IMAGE
8ba83dfdde0cdb9d2c7dc2640c4a6cc38e7d8e482047212a63114ad4700cf792	CHANGED	4662	ItemMallCouponExchangeVital	R	1	+0x14	UNTAGGED_STRING8_LEN32LE	0x44	4+N_bytes	5+N_bytes	string8	uint32le_byte_count	0x005E53BF	0x001E47BF	0x005E53A0	0x005E53C7	3e7899321da79221d0bf2c5641dc7e0022bc6acf439794c7f61b6c7efe2f6fad	0x0089A740	0x00499B40	0x0089A806	0x00499C06	90c8c73b3b3c7158af57e374c694730763ab28292130b4f128a4754dec54e76a	0x0089A75C	0x00499B5C	push_0x44	1	IMAGE
b170ebf2cee97cfc7a46dabde08017b3ca57a516016075db398449cb1656b837	CHANGED	4786	ItemMallGiftNotifyVital	W	5	DEREF(STACK@0x006B9F80+0x18)+0xC	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BA028	0x002B9428	0x006B9F80	0x006BA0C9	0634722dac4c88a7e9816f5e55b3817648204bf736a3a9a0b9e09679fe4506d0	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
fb5f9d6f08d3b59fbe8e9df1576a80e8265e20151a13598177677fddc13f6098	CHANGED	4792	ItemMallGiftNotifyVital	R	7	STACK@0x006B9F80+0x2C	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BA07C	0x002B947C	0x006B9F80	0x006BA0C9	0634722dac4c88a7e9816f5e55b3817648204bf736a3a9a0b9e09679fe4506d0	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
68bff63f585155971ca7c6080bced87722b7b97b6467046678eff2636e7c8d80	CHANGED	4817	ItemMallIMSDataRes	W	13	DEREF(DEREF(STACK@0x006BD210+0x24)+0x10)+0x18	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BC60A	0x002BBA0A	0x006BC5D0	0x006BC88B	d2ebd6c5e57fc2c6aa0273e56434a0c8494e50da79b6a392bee2ce6bfb5be8bc	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
cf45fc16b7596e20d597417a38dd4ab6163f5b42016e0ff545e5cb715ce103c6	CHANGED	4818	ItemMallIMSDataRes	W	14	DEREF(DEREF(STACK@0x006BD210+0x24)+0x10)+0x34	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BC615	0x002BBA15	0x006BC5D0	0x006BC88B	d2ebd6c5e57fc2c6aa0273e56434a0c8494e50da79b6a392bee2ce6bfb5be8bc	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
53728f9619ef9800298c9c1659321e8d87e4b4d8646168d2945602e58c0ba22c	CHANGED	4829	ItemMallIMSDataRes	W	25	DEREF(DEREF(STACK@0x006BD210+0x24)+0x10)+0x14	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BD34F	0x002BC74F	0x006BD210	0x006BDC74	ef593799b615f5fb3cd4a05fafabbeacd89fd270d99fe698b2591f43b8310a84	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
7919a9270cb5a9c1efe20f3889418c91624a46f7f99a956c4fd5ca5a2eb82bd1	CHANGED	4830	ItemMallIMSDataRes	W	26	DEREF(DEREF(STACK@0x006BD210+0x24)+0x10)+0x30	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BD35A	0x002BC75A	0x006BD210	0x006BDC74	ef593799b615f5fb3cd4a05fafabbeacd89fd270d99fe698b2591f43b8310a84	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
c29f935859ad3861af18bf862b937036b850838faf850583b56620594ade8288	CHANGED	4840	ItemMallIMSDataRes	W	36	DEREF(DEREF(STACK@0x006BD210+0x24)+0x10)+0x1C	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BC01B	0x002BB41B	0x006BBFD0	0x006BC31C	50847a94f2ee128fac0e442bfaeea35688fd77c8d3b72ea5e80793a3c23475db	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
cf447b5a8e4e5d192fc58f7d69d610df853d75e4014f25d3b7b822bdba6cc0c8	CHANGED	4841	ItemMallIMSDataRes	W	37	DEREF(DEREF(STACK@0x006BD210+0x24)+0x10)+0x38	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006BC026	0x002BB426	0x006BBFD0	0x006BC31C	50847a94f2ee128fac0e442bfaeea35688fd77c8d3b72ea5e80793a3c23475db	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
