source	evidence_id	relative_path	size	sha256	document_kind	parse_status	root_tag	element_count	record_tag	record_count	attribute_names	parser_detail
DATA	DATA-1829	Data/Scene/Save/Bg1023/Sector_0_0/surfaces.xml	266	B7B91FA0655FBC9C12A473F471EA170731CA730E44266B53DCD870745CADC9BB	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1830	Data/Scene/Save/Bg1024/Sector_0_0/surfaces.xml	266	114EADFC753B585336C0DB21D3EA302BC5FFACAF7A064F24F9E4151BDFCB0434	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1831	Data/Scene/Save/Bg1025/Sector_0_0/surfaces.xml	266	CEF24D04E1B807C07F3B0F488EA6015482C9BF58089A752C18C5EE6AEC9DC376	SURFACE_MASK_XML	PASS	Block	4	SurfaceMask	3	name,package,position	STANDARD_XML
DATA	DATA-1832	Data/Scene/Save/Bg1026/Sector_0_0/surfaces.xml	424	766BAE8B0E400C386FE399D19B2C98B7E20A50477BA63F8B52265B3498384AB2	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1833	Data/Scene/Save/Bg1027/Sector_0_0/surfaces.xml	424	5A83F8F8B14F3EFC7678965E2600F631939919C5FAA53EDFF267445FE8E4F49C	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1834	Data/Scene/Save/Bg1028/Sector_0_0/surfaces.xml	424	8726F41E6F9760B770E43D2A43AA0EF8A85C2FC3B8462BB2E369D259553585A2	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1835	Data/Scene/Save/Bg1029/Sector_0_0/surfaces.xml	665	01F79C97A416BEA5DCE40EC5FC3B883821E1A3A5501FAE4267585E5A152304A9	SURFACE_MASK_XML	PASS	Block	9	SurfaceMask	8	name,package,position	STANDARD_XML
DATA	DATA-1836	Data/Scene/Save/Bg1030/Sector_0_0/surfaces.xml	665	CBC5F0D5386F9A38934183A6BC58B3F72D2412219C97681F4A92A95D864AC0AC	SURFACE_MASK_XML	PASS	Block	9	SurfaceMask	8	name,package,position	STANDARD_XML
DATA	DATA-1837	Data/Scene/Save/Bg1031/Sector_0_0/surfaces.xml	665	D44CFE6FA48C54125A72B22E6D416BC554E6F08BD59B4BDB5102484B901A335E	SURFACE_MASK_XML	PASS	Block	9	SurfaceMask	8	name,package,position	STANDARD_XML
DATA	DATA-1838	Data/Scene/Save/Bg1032/Sector_0_0/surfaces.xml	481	9078151ECBCE1645946456F5DCA20BEB1189FFE39D795D86FDCDA1682457E43B	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
